"datetime","lon","lat","place_name","event_type","headline"
"2024-12-01 00:00:00","37.675289","47.955082","Ruttschenkowo","","DeepState: Росіяни окупували ще 3 населених пункти на Донеччині."
"2024-12-01 00:00:00","36.789317","46.755673","Berdyansk","uav|ied|loc","В окупованому Бердянську пролунав вибух, почалися перебої зі світлом та інтернетом – МВА."
"2024-12-01 00:00:00","34.394812","47.567463","Nikopol","loc","Росіяни вночі били по Нікопольщині: вбили чоловіка."
"2024-12-01 00:00:00","32.614962","46.640319","Kherson","airstrike|civcas|retreab|loc","Окупанти скинули вибухівку на маршрутку в Херсоні, є поранені."
"2024-12-01 00:00:00","34.0994127132379","44.9536335","Simferopol","uav","Воїни ГУР уразили ще три РЛС у Криму."
"2024-12-01 00:00:00","25.59073","49.555958","Ternopil","arresb|loc","Директорку скандальної спецшколи на Тернопільщині відсторонили від роботи."
"2024-12-01 00:00:00","32.614962","46.640319","Kherson","airstrike|milcas|loc","Армія РФ вдарила по зупинці в передмісті Херсона, є загиблі."
"2024-12-01 00:00:00","32.614962","46.640319","Kherson","airstrike|uav|civcas|loc","У Херсоні через російські дрони в суботу загинули двоє й поранено трьох цивільних."
"2024-12-01 00:00:00","36.505117","49.61494","Slobozhans’ke","loc","DeepState: Росіяни окупували Берестки на Донеччині та просунулись на Харківщині."
"2024-12-01 00:00:00","26.251638","50.61992","Yaseninichi","loc","Більша частина Рівного залишилася без світла через аварію."
"2024-12-01 00:00:00","35.046181","48.464717","Dnipro","artillery|civcas|loc","Росіяни завдали ракетного удару по Дніпропетровщині: 4 загиблих, понад 20 поранених."
"2024-12-01 00:00:00","37.675289","47.955082","Ruttschenkowo","loc","DeepState: Росіяни окупували Берестки на Донеччині та просунулись на Харківщині."
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","","У центрі Києва в неділю обмежать рух через приїзд іноземних гостей."
"2024-12-01 00:00:00","35.138851","47.838312","Zaporizhzhya","loc","Будівництво фортифікацій біля Запоріжжя майже завершено – Федоров."
"2024-12-01 00:00:00","23.413124","48.220758","Posich","artillery|ied|airalerb|loc","Від вибуху гранати загинули троє людей на Закарпатті."
"2024-12-01 00:00:00","35.046181","48.464717","Dnipro","milcas|civcas|loc","Дніпропетровщина: зросла кількість поранених внаслідок суботньої атаки."
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","uav|aad|airalerb|loc","У Києві було чутно роботу ППО."
"2024-12-01 00:00:00","37.675289","47.955082","Ruttschenkowo","civcas|loc","Четверо цивільних вбиті та майже 20 поранені на Херсонщині та Донеччині."
"2024-12-01 00:00:00","35.046181","48.464717","Dnipro","airstrike|loc","Одеський ""Шторм"" розгромив херсонський ""Дніпро"" у чемпіонаті України."
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","","""Київ Кепіталз"" вирвали перемогу над ""Кременчуком"" у чемпіонаті України з хокею."
"2024-12-01 00:00:00","37.175601","48.280351","Pokrovsk","airalerb|loc","Генштаб: У неділю найбільше боїв на Курахівському, Покровському та Времівському напрямках."
"2024-12-01 00:00:00","37.275072","47.987693","Kurakhove","airalerb|loc","Генштаб: У неділю найбільше боїв на Курахівському, Покровському та Времівському напрямках."
"2024-12-01 00:00:00","37.248203","47.779055","Vuhledar","uav|loc","У Британії проаналізували просування Росії після окупації Вугледара."
"2024-12-01 00:00:00","32.004063","51.355426","Volovytsia","uav|property|loc","""Шахед"" влучив у приватний будинок на Чернігівщині."
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","loc","Як працюватиме Подільський міст у Києві."
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","","Новые президент Евросовета Кошта и глава евродипломатии Каллас прибыли в Киев"
"2024-12-01 00:00:00","32.614962","46.640319","Kherson","airstrike|loc","Россия сбросила взрывчатку на маршрутку в Херсоне: убила троих и ранила 11 человек"
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","","В Киеве для проезда открыли Подольско-Воскресенский мост – фото"
"2024-12-01 00:00:00","35.046181","48.464717","Dnipro","arresb|loc","В Днепре задержан водитель, совершивший смертельное ДТП – Нацполиция"
"2024-12-01 00:00:00","38.902523","49.158739","Baydivka","loc","""Укренерго"" відсудило у ""ЛЕО"" Григоришина борг, що назбирався після окупації Луганщини."
"2024-12-01 00:00:00","32.614962","46.640319","Kherson","airstrike|ied|civcas|loc","Армія РФ скинула вибухівку на маршрутку в Херсоні: троє загиблих."
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","","Новий президент Євроради прибув до Києва."
"2024-12-01 00:00:00","33.481729","46.55783","Chorna Dolyna","civcas|loc","Четверо цивільних вбиті та майже 20 поранені на Херсонщині та Донеччині."
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","uav|aad|loc","Близько десяти дронів, які атакували Київ, збиті – КМВА."
"2024-12-01 00:00:00","30.731689","46.484213","Odessa","airstrike|loc","Одеський ""Шторм"" розгромив херсонський ""Дніпро"" у чемпіонаті України."
"2024-12-01 00:00:00","35.046181","48.464717","Dnipro","","День з Ярославою Магучіх у Дніпрі. Улюблений парк, зустріч зі школярами й тренування в рідній школі."
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","uav|property|loc","В Києві уламки БпЛА упали у Голосіївському районі: пошкоджено багатоквартирний будинок – КМВА."
"2024-12-01 00:00:00","33.410241","49.065499","Kremenchuk","","""Київ Кепіталз"" вирвали перемогу над ""Кременчуком"" у чемпіонаті України з хокею."
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","uav|property|loc","В результате падения обломков ""шахеда"" в Киеве поврежден многоквартирный дом"
"2024-12-01 00:00:00","30.52355","50.450441","Kyiv","uav","Появился проект реформы ВЛК, россияне атаковали дронами Киев – LIVE"
"2024-12-01 00:00:00","34.13609","50.97003","Bobryk","airstrike|uav|loc","Над Сумщиною зафіксовано ударний безпілотник, летить у південно-західному напрямку"
"2024-12-01 00:00:00","34.65156","48.86941","Novo-Mogilëv","artillery|civcas|loc","4 людини загинули, щонайменше 17 отримали поранення внаслідок ракетного удару РФ по Дніпропетровській області"
"2024-12-01 00:00:00","35.2565","48.6809","Reshetilovskiy Kut","artillery|ied|loc","У Самарівському районі Дніпропетровської області пролунали вибухи. Здійснено пуск керованої авіаційної ракети"
"2024-12-01 00:00:00","37.26631","48.29277","Myrnohrad","uav|artillery|civcas|loc","У Мирнограді внаслідок російського обстрілу загинули 2 людини"
"2024-12-01 00:00:00","30.87708","50.08706","Staiky","uav|aad","За ніч українська ППО збила 8 безпілотників типу ""Шахед""."
"2024-12-01 00:00:00","37.87228","49.37813","Pershotravneve","firefighb|loc","На Куп'янському напрямку вчора відбулися бої біля Колісниківки, Лозової, Першотравневого та Зеленого Гаю, - повідомляє Генштаб ЗСУ"
"2024-12-01 00:00:00","36.311368","48.890048","Lozova","firefighb|loc","На Куп'янському напрямку вчора відбулися бої біля Колісниківки, Лозової, Першотравневого та Зеленого Гаю, - повідомляє Генштаб ЗСУ"
"2024-12-01 00:00:00","30.4958501","50.388763","Demiyevka","uav|property|loc","В Києві уламки БпЛА упали у Голосіївському районі: пошкоджено багатоквартирний будинок – КМВА."
"2024-12-01 00:00:00","37.22753","48.21092","Dachenske","loc","На Покровському напрямку бойові дії вчора відбулися поблизу Миролюбівки, Проміні, Лисівки, Даченського, Чумацького, Нового Труду та Жовтого, - повідомляє Генштаб ЗСУ"
"2024-12-01 00:00:00","33.34454","46.78428","Kozatske","airstrike|retreab|loc","Російська авіація завдала авіаударів по Ківшарівці, Олександро-Калиновому, Новоосиновому, Глушківці, Григорівці, Серебрянці, Костянтинівці, Успенівці, Улаклі, Великій Новосілкі, Макарівці, Оріхові та Козацькому, - повідомляє Генштаб ЗСУ."
"2024-12-01 00:00:00","30.069909","50.306401","Novosilky","airstrike|retreab|loc","Російська авіація завдала авіаударів по Ківшарівці, Олександро-Калиновому, Новоосиновому, Глушківці, Григорівці, Серебрянці, Костянтинівці, Успенівці, Улаклі, Великій Новосілкі, Макарівці, Оріхові та Козацькому, - повідомляє Генштаб ЗСУ."
"2024-12-01 00:00:00","37.83709","48.5867","Chasiv Yar","loc","На Краматорському напрямку вчора відбулися зіткнення під Часовим Яром і Білою Горою, - повідомляє Генштаб ЗСУ"
